"Occupation - National Occupational Classification (NOC) 2016 (693A)","Total - Period of immigration [4]","  1980 to 1990","  1991 to 2000","  2001 to 2010","    2001 to 2005","    2006 to 2010","  2011 to 2016 [5]", 
"        401 University professors and post-secondary assistants",45810,5280,12015,17960,8640,9325,10555 
"          4011 University professors and lecturers",22585,3810,5580,8420,3970,4445,4775 
"          4012 Post-secondary teaching and research assistants",23225,1470,6435,9545,4670,4880,5780 
"        402 College and other vocational instructors",16290,3160,4740,5605,2695,2905,2790 
"          4021 College and other vocational instructors",16290,3155,4740,5605,2700,2905,2790 
"        403 Secondary and elementary school teachers and educational counsellors",49050,12545,15000,16585,9425,7160,4920 
"          4031 Secondary school teachers",17400,4765,5490,5515,3145,2365,1635 
"          4032 Elementary school and kindergarten teachers",28525,7145,8660,9930,5665,4265,2790 
"          4033 Educational counsellors",3125,630,850,1150,615,530,500 
"      41 Professional occupations in law and social, community and government services",81775,17435,24690,27630,14225,13410,12020 
"        411 Judges, lawyers and Quebec notaries",10075,2765,3305,2895,1515,1380,1105 
"          4111 Judges",75,40,10,0,0,0,30 
"          4112 Lawyers and Quebec notaries",9995,2725,3305,2890,1510,1380,1075 
"        415 Social and community service professionals",23370,5915,6945,7210,3580,3630,3295 
"          4151 Psychologists",3160,845,945,940,460,480,430 
"          4152 Social workers",7500,2025,2200,2380,1315,1070,895 
"          4153 Family, marriage and other related counsellors",3050,785,975,955,440,510,345 
"          4154 Professional occupations in religion",6720,1655,1960,1865,815,1050,1245 
"          4155 Probation and parole officers and related occupations",400,140,160,90,50,35,10 
"          4156 Employment counsellors",2540,465,705,990,500,490,375 
"        416 Policy and program researchers, consultants and officers",48330,8755,14435,17520,9130,8395,7620 
"          4161 Natural and applied science policy researchers, consultants and program officers",4415,845,1335,1595,805,795,640 
"          4162 Economists and economic policy researchers and analysts",5700,975,1720,2045,1190,855,960 
"          4163 Business development officers and marketing researchers and consultants",15725,2490,4680,5440,2830,2605,3115 
"          4164 Social policy researchers, consultants and program officers",6965,1195,2045,2735,1365,1370,995 
"          4165 Health policy researchers, consultants and program officers",7505,1305,2380,2885,1480,1410,935 
"          4166 Education policy researchers, consultants and program officers",3705,750,910,1500,700,805,540 
"          4167 Recreation, sports and fitness policy researchers, consultants and program officers",1030,265,315,295,130,160,150 
"          4168 Program officers unique to government",2470,730,840,720,440,285,175 
